型号,系列,分辨率,像元(μm),像元来源,焦距(mm),焦距原始,工作距离(mm),传感器宽(mm),传感器高(mm),视野宽(mm),视野高(mm),单像素精度(mm),备注
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,50,2.176,1.632,35.1,26.32,0.0548,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,100,2.176,1.632,70.19,52.65,0.1097,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,150,2.176,1.632,105.29,78.97,0.1645,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,200,2.176,1.632,140.39,105.29,0.2194,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,300,2.176,1.632,210.58,157.94,0.329,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,500,2.176,1.632,350.97,263.23,0.5484,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,50,2.176,1.632,35.1,26.32,0.0548,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,100,2.176,1.632,70.19,52.65,0.1097,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,150,2.176,1.632,105.29,78.97,0.1645,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,200,2.176,1.632,140.39,105.29,0.2194,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,300,2.176,1.632,210.58,157.94,0.329,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,500,2.176,1.632,350.97,263.23,0.5484,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,50,2.176,1.632,35.1,26.32,0.0548,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,100,2.176,1.632,70.19,52.65,0.1097,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,150,2.176,1.632,105.29,78.97,0.1645,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,200,2.176,1.632,140.39,105.29,0.2194,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,300,2.176,1.632,210.58,157.94,0.329,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,500,2.176,1.632,350.97,263.23,0.5484,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,50,2.176,1.632,35.1,26.32,0.0548,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,100,2.176,1.632,70.19,52.65,0.1097,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,150,2.176,1.632,105.29,78.97,0.1645,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,200,2.176,1.632,140.39,105.29,0.2194,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,300,2.176,1.632,210.58,157.94,0.329,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,500,2.176,1.632,350.97,263.23,0.5484,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,50,3.215,2.412,32.81,24.61,0.032,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,100,3.215,2.412,65.62,49.21,0.0641,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,150,3.215,2.412,98.43,73.82,0.0961,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,200,3.215,2.412,131.24,98.43,0.1282,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,300,3.215,2.412,196.86,147.64,0.1922,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,500,3.215,2.412,328.1,246.07,0.3204,
MV-SC1008M-05S-WBN-NR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,50,3.215,2.412,32.81,24.61,0.032,
MV-SC1008M-05S-WBN-NR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,100,3.215,2.412,65.62,49.21,0.0641,
MV-SC1008M-05S-WBN-NR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,150,3.215,2.412,98.43,73.82,0.0961,
MV-SC1008M-05S-WBN-NR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,200,3.215,2.412,131.24,98.43,0.1282,
MV-SC1008M-05S-WBN-NR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,300,3.215,2.412,196.86,147.64,0.1922,
MV-SC1008M-05S-WBN-NR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,500,3.215,2.412,328.1,246.07,0.3204,
MV-SC2013XM-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,50,3.968,3.174,39.68,31.74,0.031,
MV-SC2013XM-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,100,3.968,3.174,79.36,63.49,0.062,
MV-SC2013XM-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,150,3.968,3.174,119.04,95.23,0.093,
MV-SC2013XM-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,200,3.968,3.174,158.72,126.98,0.124,
MV-SC2013XM-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,300,3.968,3.174,238.08,190.46,0.186,
MV-SC2013XM-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,500,3.968,3.174,396.8,317.44,0.31,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,50,3.968,3.174,16.53,13.23,0.0129,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,100,3.968,3.174,33.07,26.45,0.0258,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,150,3.968,3.174,49.6,39.68,0.0387,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,200,3.968,3.174,66.13,52.91,0.0517,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,300,3.968,3.174,99.2,79.36,0.0775,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,500,3.968,3.174,165.33,132.27,0.1292,
MV-SC2013XM-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,50,3.968,3.174,12.4,9.92,0.0097,
MV-SC2013XM-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,100,3.968,3.174,24.8,19.84,0.0194,
MV-SC2013XM-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,150,3.968,3.174,37.2,29.76,0.0291,
MV-SC2013XM-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,200,3.968,3.174,49.6,39.68,0.0387,
MV-SC2013XM-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,300,3.968,3.174,74.4,59.52,0.0581,
MV-SC2013XM-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,500,3.968,3.174,124.0,99.2,0.0969,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,50,3.968,3.174,39.68,31.74,0.031,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,100,3.968,3.174,79.36,63.49,0.062,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,150,3.968,3.174,119.04,95.23,0.093,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,200,3.968,3.174,158.72,126.98,0.124,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,300,3.968,3.174,238.08,190.46,0.186,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,500,3.968,3.174,396.8,317.44,0.31,
MV-SC2013XC-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,50,3.968,3.174,16.53,13.23,0.0129,
MV-SC2013XC-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,100,3.968,3.174,33.07,26.45,0.0258,
MV-SC2013XC-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,150,3.968,3.174,49.6,39.68,0.0387,
MV-SC2013XC-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,200,3.968,3.174,66.13,52.91,0.0517,
MV-SC2013XC-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,300,3.968,3.174,99.2,79.36,0.0775,
MV-SC2013XC-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,500,3.968,3.174,165.33,132.27,0.1292,
MV-SC2013XC-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,50,3.968,3.174,12.4,9.92,0.0097,
MV-SC2013XC-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,100,3.968,3.174,24.8,19.84,0.0194,
MV-SC2013XC-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,150,3.968,3.174,37.2,29.76,0.0291,
MV-SC2013XC-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,200,3.968,3.174,49.6,39.68,0.0387,
MV-SC2013XC-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,300,3.968,3.174,74.4,59.52,0.0581,
MV-SC2013XC-16M-WBN,SC2000X AI,1280×1024,3.1,推测*,16.0,16mm,500,3.968,3.174,124.0,99.2,0.0969,
MV-SC2023XM-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,50,5.76,3.84,57.6,38.4,0.03,
MV-SC2023XM-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,100,5.76,3.84,115.2,76.8,0.06,
MV-SC2023XM-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,150,5.76,3.84,172.8,115.2,0.09,
MV-SC2023XM-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,200,5.76,3.84,230.4,153.6,0.12,
MV-SC2023XM-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,300,5.76,3.84,345.6,230.4,0.18,
MV-SC2023XM-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,500,5.76,3.84,576.0,384.0,0.3,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,50,5.76,3.84,24.0,16.0,0.0125,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,100,5.76,3.84,48.0,32.0,0.025,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,150,5.76,3.84,72.0,48.0,0.0375,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,200,5.76,3.84,96.0,64.0,0.05,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,300,5.76,3.84,144.0,96.0,0.075,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,500,5.76,3.84,240.0,160.0,0.125,
MV-SC2023XM-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,50,5.76,3.84,18.0,12.0,0.0094,
MV-SC2023XM-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,100,5.76,3.84,36.0,24.0,0.0187,
MV-SC2023XM-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,150,5.76,3.84,54.0,36.0,0.0281,
MV-SC2023XM-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,200,5.76,3.84,72.0,48.0,0.0375,
MV-SC2023XM-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,300,5.76,3.84,108.0,72.0,0.0563,
MV-SC2023XM-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,500,5.76,3.84,180.0,120.0,0.0938,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,50,5.76,3.84,57.6,38.4,0.03,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,100,5.76,3.84,115.2,76.8,0.06,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,150,5.76,3.84,172.8,115.2,0.09,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,200,5.76,3.84,230.4,153.6,0.12,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,300,5.76,3.84,345.6,230.4,0.18,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,500,5.76,3.84,576.0,384.0,0.3,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,50,5.76,3.84,24.0,16.0,0.0125,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,100,5.76,3.84,48.0,32.0,0.025,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,150,5.76,3.84,72.0,48.0,0.0375,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,200,5.76,3.84,96.0,64.0,0.05,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,300,5.76,3.84,144.0,96.0,0.075,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,500,5.76,3.84,240.0,160.0,0.125,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,50,5.76,3.84,18.0,12.0,0.0094,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,100,5.76,3.84,36.0,24.0,0.0187,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,150,5.76,3.84,54.0,36.0,0.0281,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,200,5.76,3.84,72.0,48.0,0.0375,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,300,5.76,3.84,108.0,72.0,0.0563,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,500,5.76,3.84,180.0,120.0,0.0938,
MV-SC2004EM-06S-WBN-Mini,SC2000进阶,704×540,3.0,推测*,6.72,6.72mm,50,2.112,1.62,15.71,12.05,0.0223,
MV-SC2004EM-06S-WBN-Mini,SC2000进阶,704×540,3.0,推测*,6.72,6.72mm,100,2.112,1.62,31.43,24.11,0.0446,
MV-SC2004EM-06S-WBN-Mini,SC2000进阶,704×540,3.0,推测*,6.72,6.72mm,150,2.112,1.62,47.14,36.16,0.067,
MV-SC2004EM-06S-WBN-Mini,SC2000进阶,704×540,3.0,推测*,6.72,6.72mm,200,2.112,1.62,62.86,48.21,0.0893,
MV-SC2004EM-06S-WBN-Mini,SC2000进阶,704×540,3.0,推测*,6.72,6.72mm,300,2.112,1.62,94.29,72.32,0.1339,
MV-SC2004EM-06S-WBN-Mini,SC2000进阶,704×540,3.0,推测*,6.72,6.72mm,500,2.112,1.62,157.14,120.54,0.2232,
MV-SC2004EM-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,50,2.112,1.62,13.2,10.12,0.0188,
MV-SC2004EM-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,100,2.112,1.62,26.4,20.25,0.0375,
MV-SC2004EM-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,150,2.112,1.62,39.6,30.38,0.0563,
MV-SC2004EM-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,200,2.112,1.62,52.8,40.5,0.075,
MV-SC2004EM-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,300,2.112,1.62,79.2,60.75,0.1125,
MV-SC2004EM-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,500,2.112,1.62,132.0,101.25,0.1875,
MV-SC2004EC-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,50,2.112,1.62,8.52,6.53,0.0121,
MV-SC2004EC-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,100,2.112,1.62,17.03,13.06,0.0242,
MV-SC2004EC-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,150,2.112,1.62,25.55,19.6,0.0363,
MV-SC2004EC-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,200,2.112,1.62,34.06,26.13,0.0484,
MV-SC2004EC-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,300,2.112,1.62,51.1,39.19,0.0726,
MV-SC2004EC-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,500,2.112,1.62,85.16,65.32,0.121,
MV-SC2004EC-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,50,2.112,1.62,13.2,10.12,0.0188,
MV-SC2004EC-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,100,2.112,1.62,26.4,20.25,0.0375,
MV-SC2004EC-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,150,2.112,1.62,39.6,30.38,0.0563,
MV-SC2004EC-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,200,2.112,1.62,52.8,40.5,0.075,
MV-SC2004EC-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,300,2.112,1.62,79.2,60.75,0.1125,
MV-SC2004EC-08S-WBN,SC2000进阶,704×540,3.0,推测*,8.0,8mm,500,2.112,1.62,132.0,101.25,0.1875,
MV-SC2004EM-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,50,2.112,1.62,7.14,5.47,0.0101,
MV-SC2004EM-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,100,2.112,1.62,14.27,10.95,0.0203,
MV-SC2004EM-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,150,2.112,1.62,21.41,16.42,0.0304,
MV-SC2004EM-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,200,2.112,1.62,28.54,21.89,0.0405,
MV-SC2004EM-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,300,2.112,1.62,42.81,32.84,0.0608,
MV-SC2004EM-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,500,2.112,1.62,71.35,54.73,0.1014,
MV-SC2004EM-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,50,2.112,1.62,8.52,6.53,0.0121,
MV-SC2004EM-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,100,2.112,1.62,17.03,13.06,0.0242,
MV-SC2004EM-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,150,2.112,1.62,25.55,19.6,0.0363,
MV-SC2004EM-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,200,2.112,1.62,34.06,26.13,0.0484,
MV-SC2004EM-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,300,2.112,1.62,51.1,39.19,0.0726,
MV-SC2004EM-12S-WBN,SC2000进阶,704×540,3.0,推测*,12.4,12.4mm,500,2.112,1.62,85.16,65.32,0.121,
MV-SC2004EC-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,50,2.112,1.62,7.14,5.47,0.0101,
MV-SC2004EC-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,100,2.112,1.62,14.27,10.95,0.0203,
MV-SC2004EC-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,150,2.112,1.62,21.41,16.42,0.0304,
MV-SC2004EC-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,200,2.112,1.62,28.54,21.89,0.0405,
MV-SC2004EC-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,300,2.112,1.62,42.81,32.84,0.0608,
MV-SC2004EC-15S-WBN,SC2000进阶,704×540,3.0,推测*,14.8,14.8mm,500,2.112,1.62,71.35,54.73,0.1014,
MV-SC2016EM-06S-WBN-Mini,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,50,4.858,3.533,36.14,26.29,0.0257,
MV-SC2016EM-06S-WBN-Mini,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,100,4.858,3.533,72.29,52.57,0.0513,
MV-SC2016EM-06S-WBN-Mini,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,150,4.858,3.533,108.43,78.86,0.077,
MV-SC2016EM-06S-WBN-Mini,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,200,4.858,3.533,144.57,105.14,0.1027,
MV-SC2016EM-06S-WBN-Mini,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,300,4.858,3.533,216.86,157.71,0.154,
MV-SC2016EM-06S-WBN-Mini,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,500,4.858,3.533,361.43,262.86,0.2567,
MV-SC2016EM-06S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,50,4.858,3.533,36.14,26.29,0.0257,
MV-SC2016EM-06S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,100,4.858,3.533,72.29,52.57,0.0513,
MV-SC2016EM-06S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,150,4.858,3.533,108.43,78.86,0.077,
MV-SC2016EM-06S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,200,4.858,3.533,144.57,105.14,0.1027,
MV-SC2016EM-06S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,300,4.858,3.533,216.86,157.71,0.154,
MV-SC2016EM-06S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,6.72,6.72mm,500,4.858,3.533,361.43,262.86,0.2567,
MV-SC2016EM-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,50,4.858,3.533,30.36,22.08,0.0216,
MV-SC2016EM-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,100,4.858,3.533,60.72,44.16,0.0431,
MV-SC2016EM-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,150,4.858,3.533,91.08,66.24,0.0647,
MV-SC2016EM-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,200,4.858,3.533,121.44,88.32,0.0863,
MV-SC2016EM-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,300,4.858,3.533,182.16,132.48,0.1294,
MV-SC2016EM-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,500,4.858,3.533,303.6,220.8,0.2156,
MV-SC2016EM-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,50,4.858,3.533,19.59,14.25,0.0139,
MV-SC2016EM-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,100,4.858,3.533,39.17,28.49,0.0278,
MV-SC2016EM-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,150,4.858,3.533,58.76,42.74,0.0417,
MV-SC2016EM-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,200,4.858,3.533,78.35,56.98,0.0556,
MV-SC2016EM-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,300,4.858,3.533,117.52,85.47,0.0835,
MV-SC2016EM-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,500,4.858,3.533,195.87,142.45,0.1391,
MV-SC2016EM-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,50,4.858,3.533,16.41,11.94,0.0117,
MV-SC2016EM-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,100,4.858,3.533,32.82,23.87,0.0233,
MV-SC2016EM-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,150,4.858,3.533,49.23,35.81,0.035,
MV-SC2016EM-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,200,4.858,3.533,65.64,47.74,0.0466,
MV-SC2016EM-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,300,4.858,3.533,98.46,71.61,0.0699,
MV-SC2016EM-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,500,4.858,3.533,164.11,119.35,0.1166,
MV-SC2016EC-03S-MED,SC2000进阶,1408×1024,3.45,推测*,3.0,3mm,50,4.858,3.533,80.96,58.88,0.0575,
MV-SC2016EC-03S-MED,SC2000进阶,1408×1024,3.45,推测*,3.0,3mm,100,4.858,3.533,161.92,117.76,0.115,
MV-SC2016EC-03S-MED,SC2000进阶,1408×1024,3.45,推测*,3.0,3mm,150,4.858,3.533,242.88,176.64,0.1725,
MV-SC2016EC-03S-MED,SC2000进阶,1408×1024,3.45,推测*,3.0,3mm,200,4.858,3.533,323.84,235.52,0.23,
MV-SC2016EC-03S-MED,SC2000进阶,1408×1024,3.45,推测*,3.0,3mm,300,4.858,3.533,485.76,353.28,0.345,
MV-SC2016EC-03S-MED,SC2000进阶,1408×1024,3.45,推测*,3.0,3mm,500,4.858,3.533,809.6,588.8,0.575,
MV-SC2016EC-06S-MED,SC2000进阶,1408×1024,3.45,推测*,6.0,6mm,50,4.858,3.533,40.48,29.44,0.0288,
MV-SC2016EC-06S-MED,SC2000进阶,1408×1024,3.45,推测*,6.0,6mm,100,4.858,3.533,80.96,58.88,0.0575,
MV-SC2016EC-06S-MED,SC2000进阶,1408×1024,3.45,推测*,6.0,6mm,150,4.858,3.533,121.44,88.32,0.0863,
MV-SC2016EC-06S-MED,SC2000进阶,1408×1024,3.45,推测*,6.0,6mm,200,4.858,3.533,161.92,117.76,0.115,
MV-SC2016EC-06S-MED,SC2000进阶,1408×1024,3.45,推测*,6.0,6mm,300,4.858,3.533,242.88,176.64,0.1725,
MV-SC2016EC-06S-MED,SC2000进阶,1408×1024,3.45,推测*,6.0,6mm,500,4.858,3.533,404.8,294.4,0.2875,
MV-SC2016EC-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,50,4.858,3.533,30.36,22.08,0.0216,
MV-SC2016EC-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,100,4.858,3.533,60.72,44.16,0.0431,
MV-SC2016EC-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,150,4.858,3.533,91.08,66.24,0.0647,
